Name,House,District,Geography,Party,Statewide RTC,Winter Eviction Moratorium,Defend RTC
Lea Webb,Senate,52,Ithaca/Tompkins/Cortland/Binghamton/Broome,Democrat,true
Joseph Griffo,Senate,53,Oneida/Madison/Chenango,Republican,
Pamela Helming,Senate,54,Monroe/Livingston/Ontario/Wayne,Republican,
Samra Brouk,Senate,55,Rochester/Monroe,Democrat,true
Jeremy Cooney,Senate,56,Rochester/Monroe,Democrat,true
George Borrello,Senate,57,Chautauqua/Cattaraugus/Allegeny/Wyoming/Genesee,Republican,
Thomas O'Mara,Senate,58,Allegeny/Steuben/Yates/Seneca/Schuyler/Chemung/Tioga,Republican,
Kristen Gonzalez,Senate,59,Queens/Brooklyn/Manhattan,Democrat,true
Patrick Gallivan,Senate,60,Erie,Republican,
Sean Ryan,Senate,61,Buffalo/Erie,Democrat,
Robert Ortt,Senate,62,Niagara/Orleans/Monroe,Republican,
Timothy Kennedy,Senate,63,Buffalo/Erie,Democrat,true
